Tahun,Populasi(01 Jan),Perubahan Alam,Tingkat pertumbuhan(%),Jumlah penduduk(31 December),Nama Negara
2024,115.371.047,941.428,"0,816%",116.312.475,Filipina
2023,114.411.351,955.335,"0,835%",115.366.686,Filipina
2022,113.517.326,889.976,"0,784%",114.407.302,Filipina
2021,112.684.574,829.358,"0,736%",113.513.932,Filipina
2020,111.477.954,1.200.618,"1,077%",112.678.572,Filipina
2019,110.131.413,1.338.097,"1,215%",111.469.510,Filipina
2018,108.799.160,1.324.086,"1,217%",110.123.246,Filipina
2017,107.440.227,1.350.524,"1,257%",108.790.751,Filipina
2016,106.031.211,1.399.612,"1,32%",107.430.823,Filipina
2015,104.594.772,1.426.673,"1,364%",106.021.445,Filipina
