Tahun,Populasi(01 Jan),Perubahan Alam,Tingkat pertumbuhan(%),Jumlah penduduk(31 December),Nama Negara
2015,127.358.353,-165.566,"-0,13%",127.192.787,Jepang
2016,127.193.392,-67.412,"-0,053%",127.125.980,Jepang
2017,127.126.510,-123.313,"-0,097%",127.003.197,Jepang
2018,127.002.870,-179.074,"-0,141%",126.823.796,Jepang
2019,126.823.995,-249.843,"-0,197%",126.574.152,Jepang
2020,126.574.852,-541.740,"-0,428%",126.033.112,Jepang
2021,126.034.234,-712.093,"-0,565%",125.322.141,Jepang
2022,125.324.442,-655.447,"-0,523%",124.668.995,Jepang
2023,124.670.714,-600.913,"-0,482%",124.069.801,Jepang
2024,124.071.179,-637.726,"-0,514%",123.433.453,Jepang
